Name,DG_Year,DG_Amount,Publications_6Yrs,Citations_6Yrs
"Amyot, Daniel",2013,30000.0,91,2869
"Amyot, Daniel",2014,30000.0,90,2649
"Amza, Cristiana",2016,28000.0,20,192
"Amza, Cristiana",2015,28000.0,105,831
"Amza, Cristiana",2012,28000.0,117,1460
"Amza, Cristiana",2013,28000.0,114,1106
"Amza, Cristiana",2014,28000.0,109,962
"An, Aijun",2017,54000.0,53,1643
"An, Aijun",2018,54000.0,57,1149
"An, Aijun",2016,54000.0,47,1500
"An, Aijun",2014,54000.0,46,2017
"An, Aijun",2015,54000.0,46,1527
"Anderson, Jonathan",2020,29000.0,73,55
"Anderson, Jonathan",2021,29000.0,72,58
"Anderson, Jonathan",2017,29000.0,55,26
"Anderson, Jonathan",2018,29000.0,62,40
"Anderson, Jonathan",2019,29000.0,70,55
"Anderson, Jonathan",2016,29000.0,51,62
"Anderson, Jonathan",2015,29000.0,40,46
"Andrews, James",2011,28700.0,69,6359
"Andrews, James",2010,28700.0,72,6634
"Andrews, James",2013,18090.0,75,6274
"Andrews, James",2012,28000.0,74,6851
"Andrews, James",2009,28700.0,58,5324
"Andrews, James",2008,28700.0,59,6979
"Andrews, Tallulah",2023,40000.0,26,3123
"Antoniol, Giuliano",2022,42000.0,50,851
"Antoniol, Giuliano",2019,42000.0,70,1761
"Antoniol, Giuliano",2020,42000.0,59,1348
"Antoniol, Giuliano",2021,42000.0,54,1155
"Antoniol, Giuliano",2018,42000.0,76,2516
"Antoniol, Giuliano",2017,42000.0,87,3061
"Anvik, John",2018,23000.0,15,326
"Anvik, John",2019,23000.0,15,296
"Anvik, John",2020,23000.0,17,172
"Anvik, John",2023,23000.0,12,42
"Anvik, John",2022,23000.0,15,55
"Anvik, John",2021,23000.0,14,123
"Aravind, Alex",2019,18000.0,11,40
"Aravind, Alex",2018,18000.0,9,39
"Aravind, Alex",2017,18000.0,16,65
"Aravind, Alex",2016,18000.0,18,87
"Aravind, Alex",2015,18000.0,19,136
"Archambault, Philippe",2017,23000.0,74,1904
"Archambault, Philippe",2016,23000.0,64,2006
"Archambault, Philippe",2015,23000.0,52,2083
"Archambault, Philippe",2014,23000.0,49,2033
"Archambault, Philippe",2013,23000.0,43,2035
"Areibi, Shawki",2023,38000.0,28,303
"Asokan, Nadarajah",2023,55000.0,14,932
"Asokan, Nadarajah",2022,55000.0,18,1650
"Asokan, Nadarajah",2020,55000.0,26,2055
"Asokan, Nadarajah",2021,55000.0,24,1907
"Atlee, Joanne",2015,34000.0,35,1174
"Atlee, Joanne",2014,34000.0,31,1004
"Atlee, Joanne",2013,34000.0,27,1310
"Atlee, Joanne",2012,34000.0,27,1356
"Atlee, Joanne",2018,34000.0,29,784
"Aubanel, Eric",2021,23000.0,19,80
"Aubanel, Eric",2022,23000.0,15,68
"Aubanel, Eric",2023,23000.0,10,52
"Aubanel, Eric",2020,23000.0,16,63
"Aubanel, Eric",2019,23000.0,16,71
"Aubanel, Eric",2018,23000.0,22,106
"Avellaneda, Florent",2023,31000.0,17,126
"Aycock, John",2012,15000.0,39,856
"Aycock, John",2011,15000.0,43,784
"Aycock, John",2010,15000.0,40,755
"Aycock, John",2019,18000.0,19,120
"Aycock, John",2018,18000.0,25,169
"Aycock, John",2017,18000.0,29,349
"Aycock, John",2016,18000.0,30,338
"Aycock, John",2015,18000.0,30,335
"Aycock, John",2013,15000.0,42,582
"Aycock, John",2014,15000.0,35,378
"Aycock, John",2008,22700.0,36,1142
"Azim, Akramul",2022,23000.0,54,289
"Azim, Akramul",2023,46000.0,64,349
"Azim, Akramul",2021,23000.0,38,244
"Azim, Akramul",2018,23000.0,19,99
"Azim, Akramul",2019,23000.0,20,106
